Date,BTC Price,BTC Max,BTC Min,BTC Vol,ETH Price,ETH Max,ETH Min,ETH Vol,XRP Price,XRP Max,XRP Min,XRP Vol,LTC Price,LTC Max,LTC Min,LTC Vol
20160514,457,457.98,450,32522.2148,33934.8835,9.79092024,11,9.79092024,1569.80223,0.00598889,0.00615,0.00570955,2369.21703,3.97977807,4,3.83380466
20160515,457,458.5,453.582767,13099.2373,10933.6889,10.124,10.3999999,9.78245653,10.7710175,0.00607185,0.00607185,0.00582067,157.271761,4.00746727,4.04571473,3.97315918
20160516,459.034449,463,455.627977,29365.9163,31858.6275,10.1852778,10.4,9.87056892,11.0281722,0.0060914,0.00609141,0.00601481,780.484094,4.06056711,4.11117807,3.93333129
20160517,457.25,461.979999,450.9,45452.8767,38750.8123,11.6269112,11.646635,10.0593803,35.5765236,0.00609887,0.00609887,0.00609102,1500.57359,4.0279176,4.21999999,3.97168071
20160518,450.13,457.967379,448.294154,36204.4563,55849.0999,12.85,12.85,11.594279,44.5472999,0.00585798,0.00609888,0.0058,313.593269,3.96129904,4.02791762,3.93084704
20160519,446.775182,456.69,443.800923,74564.0306,83041.0073,13.7411308,14.0337001,12.5,145.797187,0.00580475,0.00608832,0.00576377,2685.13866,3.97,4.06840808,3.93
20160520,429.999,453.711747,429.999,120676.194,108241.225,14.3550237,14.7965,13.5367287,4753.25105,0.006,0.006188,0.00595,2030.15995,3.78296997,3.98518742,3.74368998
20160521,436.194076,444.444444,420,80311.1313,73586.5842,13.5230523,14.71,12.6222969,493.659575,0.0059,0.00609981,0.00572381,980.578981,3.834,3.93765202,3.7
20160522,437.636695,440,418.175086,26621.8174,15911.0306,13.8311123,13.95,13.111,6.0688169,0.00589,0.00594987,0.00575003,551.661835,3.95999999,3.95999999,3.83061593
20160523,432.772476,450,420,56444.36,46863.9464,14.2330627,14.2501001,13,2074.93936,0.00594985,0.00594988,0.0057,866.064866,3.86169724,3.98477859,3.8
20160524,443.9,444.979999,431.82,25603.2225,37335.4047,13.5201929,14.25,13.165,231.686152,0.00576468,0.00594985,0.00567642,169.196132,3.98140906,3.985,3.86169724
20160525,448.98,450,441.5,48566.3272,57669.7355,12.5,13.5201929,11.8825,230.991984,0.00576197,0.00593981,0.00576197,704.829184,3.99383991,4.02575844,3.93
